timestamp,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
1,825,0000,-364,0000,662,0000,783,0000,-899,0000,-814,0000,963,0000,6,2700,5,6700,-108,0000,-13,5000,-200,0000,-137,0000,448,0000,-0.79731956,10313714,0000,0.40327492,-0.64658412,-0.017607498,0.04772649,0.12448938
33,0.00088653301,-0.0033691851,0.0026685274,0.0010792993,0.0061215422,0.0047025499,0.0095601757,0.025975119,-0.044745746,0.14127455,0.034536523,0.14397014,0.10476025,0.19691962,-16923751,0000,66409004,0000,0.32396418,-46040553,0000,-0.015846748,0.99591501,0.078765396
34,0.00094082159,-0.0034007635,0.0030308704,0.0012450411,0.0063960287,0.0048612211,0.0099479254,0.026208953,-0.038954432,0.14925394,0.044203399,0.14262476,0.099675317,0.19631066,-1802971,0000,39840258,0000,0.31993143,-34426235,0000,-0.014966373,0.62011062,0.087109188
35,0.00099558947,-0.0034161633,0.0033945317,0.0014286994,0.0066691732,0.0050093461,0.010336034,0.026443951,-0.032703526,0.15576928,0.053728547,0.14141426,0.094552754,0.19585944,-15792071,0000,15251952,0000,0.45704491,-23860433,0000,0.015846748,0.38214567,0.072757866
36,0.0010501776,-0.0034159835,0.0037613089,0.0016282966,0.0069406878,0.0051579505,0.010723305,0.026613973,-0.026144844,0.16129315,0.062942564,0.14028287,0.090502645,0.19541457,-14686112,0000,-27108865,0000,0.53097864,-14974942,0000,0.10652536,0.23295867,0.085774181
37,0.0011047058,-0.0034054972,0.0041256892,0.0018405972,0.0072133529,0.0053012818,0.011103564,0.026744001,-0.019867249,0.16547255,0.071584106,0.13949281,0.086735251,0.19435761,-16949471,0000,-63013966,0000,0.32261993,-0.10081873,-0.059865494,0.2389662,0.077096638
38,0.0011579158,-0.0033839256,0.0044860549,0.002070934,0.0074854428,0.0054489874,0.011474596,0.026716197,-0.013736637,0.16841461,0.080300962,0.13880323,0.084158758,0.19258924,-19830109,0000,-1017997,0000,0.13039222,1211169,0000,-0.13909924,0.37880816,0.065749081
39,0.0012078301,-0.0033489318,0.0048374923,0.0023196666,0.007760984,0.0056025053,0.011840834,0.026364392,-0.0074899248,0.16987543,0.089114035,0.13859671,0.082678792,0.19069519,-20395949,0000,-140534,0000,0.064523987,22005368,0000,-0.33278172,0.46658485,0.011347557
40,0.0012579241,-0.0032997964,0.0051799415,0.0025815218,0.0080378676,0.0057522482,0.012207311,0.026100914,-0.0010784017,0.17014526,0.097476752,0.13856572,0.081117326,0.18920391,-19752949,0000,-17299263,0000,0.12904797,40206509,0000,-0.17431423,0.13850695,0.072090363
41,0.0013088571,-0.0032315463,0.0055162189,0.0028643496,0.0083143676,0.0058859322,0.012576725,0.025974027,0.0059622905,0.16974395,0.10626418,0.13850257,0.078262265,0.1883045,-15869231,0000,-20735453,0000,0.33471818,60383698,0000,-0.14085999,-0.4979575,0.088777946
42,0.0013601496,-0.0031435221,0.0058477624,0.00316785,0.0085874163,0.0059904946,0.012940686,0.025908472,0.013572248,0.16894951,0.11536139,0.13810693,0.073066047,0.1870397,-1820975,0000,-2473491,0000,0.31993143,76218959,0000,-0.09860199,-1141097,0000,0.12448938
43,0.0014131199,-0.0030374617,0.0061689397,0.0034870499,0.0088527948,0.0060830727,0.013299853,0.026023808,0.021463837,0.16727733,0.1242091,0.1370234,0.067710653,0.18554847,-1882703,0000,-28173673,0000,0.16265422,95011571,0000,-0.1963236,-15960005,0000,0.083771671
44,0.0014647119,-0.0029110281,0.0064811887,0.0038224285,0.0091096408,0.0061694191,0.013652549,0.025978251,0.029814431,0.16504677,0.13290513,0.13530332,0.062803157,0.18370836,-1877559,0000,-31478691,0000,0.22045695,11543072,0000,-0.18223761,-19888263,0000,0.078765396
45,0.0015155251,-0.0027640416,0.0067853483,0.004175244,0.0093583375,0.006256065,0.014010458,0.025863919,0.038550195,0.16245337,0.14160566,0.13311232,0.058907114,0.18275758,-1743815,0000,-34783709,0000,0.27019419,13628004,0000,-0.17343386,-23529493,0000,0.10179426
46,0.0015673568,-0.0025931466,0.0070818979,0.004547474,0.0095991725,0.0063332434,0.014376156,0.025874305,0.047929656,0.15961767,0.15050753,0.13057336,0.054843537,0.18277592,-1833835,0000,-38163315,0000,0.26884995,15918605,0000,-0.2667536,-29086459,0000,0.089779202
47,0.0016183498,-0.0023985228,0.0073717365,0.0049389987,0.0098363641,0.006395142,0.014739518,0.02579874,0.05780611,0.15667799,0.15955849,0.12817785,0.050064684,0.1825569,-1908423,0000,-41314013,0000,0.15727722,18397402,0000,-0.27995922,-37994291,0000,0.096454235
48,0.0016697621,-0.0021813087,0.0076601967,0.0053500576,0.010070967,0.0064434983,0.015093232,0.025780219,0.067966296,0.15418842,0.16875268,0.12600261,0.044887378,0.18141696,-20756029,0000,-44765636,0000,-0.061835487,20454104,0000,-0.40497246,-44068572,0000,0.061744061
49,0.0017205751,-0.0019426429,0.0079446423,0.0057728012,0.010307776,0.006493113,0.015441913,0.025705483,0.078239618,0.15179529,0.1772765,0.12448291,0.040871372,0.18000167,-22530708,0000,-48083514,0000,0.0094097481,22337398,0000,-0.38296309,-47920066,0000,0.044722725
50,0.0017692911,-0.0016802482,0.0082265711,0.006202855,0.01054583,0.006555371,0.015790774,0.025435982,0.08883116,0.14962911,0.18482659,0.1233918,0.038922905,0.17888741,-1828691,0000,-5155314,0000,0.10350723,23892695,0000,-0.38208271,-50099464,0000,0.067084087
51,0.0018197446,-0.0013978999,0.0085007103,0.0066369836,0.010787145,0.0066304522,0.01615114,0.02539414,0.099299763,0.14711721,0.19127413,0.12284487,0.038646436,0.1791465,-20936069,0000,-54999618,0000,0.16130997,25122683,0000,-0.39440796,-51881698,0000,0.089111698
52,0.0018700184,-0.0010964368,0.0087686177,0.0070739883,0.011029514,0.0067058929,0.016521992,0.025342689,0.10958612,0.14448451,0.19671977,0.12251279,0.038461225,0.18040238,-21579068,0000,-58034576,0000,-0.09544173,26316377,0000,-0.58104744,-52509152,0000,0.051397758
53,0.0019184347,-0.00077100509,0.0090265781,0.0075094352,0.011272458,0.0067833109,0.016884694,0.025115782,0.12021206,0.14138365,0.20092051,0.12230466,0.038510781,0.18059217,-24253947,0000,-61108115,0000,-0.14517897,27022108,0000,-0.50621557,-52749453,0000,0.08143541
54,0.0019675701,-0.0004165117,0.0092760298,0.0079381109,0.011514827,0.0068678597,0.01723763,0.025006164,0.13161899,0.13805208,0.20360397,0.12208063,0.039263501,0.17976727,-20858909,0000,-64083917,0000,-0.0080654984,27820592,0000,-0.52382307,-52542527,0000,0.10179426
55,0.0020162859,-324,0000,0.0095184706,0.0083597759,0.011757196,0.0069581609,0.017582835,0.024876516,0.14371062,0.13468575,0.20504968,0.1219014,0.040440916,0.17833438,-19624349,0000,-66856532,0000,0.059146988,28723928,0000,-0.41025471,-52812866,0000,0.14251197
56,0.0020643427,0.00038025947,0.0097558182,0.0087810213,0.011996784,0.0070573902,0.017934752,0.02470689,0.15623018,0.13148335,0.20616429,0.12147997,0.042275672,0.17785918,-21553348,0000,-69714022,0000,-0.061835487,29472675,0000,-0.5123782,-54454924,0000,0.098456745
57,0.0021132982,0.00082457459,0.0099854959,0.0091999898,0.01222947,0.0071550616,0.018297275,0.024661062,0.16941566,0.12815445,0.20682828,0.12045255,0.043587673,0.17853963,-23585227,0000,-72350321,0000,-0.2675057,30312831,0000,-0.61450169,-56310583,0000,0.053066517
58,0.0021621938,0.0012997491,0.010209181,0.0096167413,0.01245554,0.007255849,0.018663932,0.024618411,0.18304998,0.12489212,0.20713777,0.11896908,0.04494888,0.17949744,-23816707,0000,-74557095,0000,-0.29439069,3147023,0000,-0.66292231,-5765894,0000,0.060075302
59,0.002211509,0.001807281,0.010427474,0.010030557,0.012678926,0.0073576549,0.01902286,0.024626244,0.19719318,0.12174296,0.20709174,0.11751385,0.046139697,0.1794907,-22324948,0000,-76496382,0000,-0.24196495,325994,0000,-0.66468306,-59107422,0000,0.078765396
60,0.0022621423,0.0023525033,0.010642052,0.010444492,0.012901066,0.0074610788,0.019372979,0.024764326,0.21227677,0.11885212,0.20706691,0.11622506,0.047254142,0.17860448,-22530708,0000,-78152749,0000,-0.22583395,33650603,0000,-0.65147743,-61563835,0000,0.089111698
61,0.0023115772,0.0029334986,0.010854652,0.01085633,0.013123014,0.0075556943,0.019720402,0.024754953,0.22792094,0.11634172,0.20683732,0.11517482,0.047264864,0.17762584,-23302307,0000,-80125472,0000,-0.35219343,3446253,0000,-0.7051803,-64494174,0000,0.052065262
62,0.0023610121,0.0035467912,0.011066713,0.011265111,0.013345729,0.0076521074,0.020074595,0.024747455,0.24366602,0.11427945,0.20634804,0.11441134,0.047453199,0.17752005,-24279667,0000,-82303955,0000,-0.38714392,35295965,0000,-0.75184017,-66510034,0000,0.044388973
63,0.0024115257,0.0041911831,0.0112741,0.011667722,0.013572566,0.0077518761,0.020440114,0.024849318,0.259372,0.11216227,0.20533944,0.11421282,0.047939428,0.17856793,-23971027,0000,-83978326,0000,-0.37504567,36273235,0000,-0.77825142,-6752464,0000,0.056070282
64,0.0024611404,0.0048725462,0.011479809,0.0120641,0.013804581,0.0078614118,0.020806172,0.024840924,0.27563391,0.11030074,0.20390937,0.1145717,0.04930512,0.17946015,-22427828,0000,-85832737,0000,-0.28229244,37277389,0000,-0.72895042,-68769533,0000,0.099458
65,0.0025117737,0.005589802,0.011680784,0.012455385,0.014040239,0.0079674722,0.021162703,0.02493607,0.29223271,0.10833813,0.20225599,0.11522315,0.050050135,0.1792212,-21913428,0000,-87324496,0000,-0.26078445,38238528,0000,-0.72190742,-70645218,0000,0.12682564
66,0.002561688,0.0063426511,0.0118814,0.012841576,0.014278964,0.0080749708,0.021508688,0.02494029,0.30907108,0.1067321,0.20042396,0.1160511,0.050789961,0.17797541,-22993667,0000,-8828128,0000,-0.38042267,38965767,0000,-0.77032804,-73145018,0000,0.11514433
67,0.0026076475,0.0071331904,0.012079679,0.013224113,0.014518074,0.0081860646,0.021857129,0.024548175,0.3263108,0.10521358,0.19859281,0.1167518,0.05174135,0.17722447,-23405187,0000,-89726743,0000,-0.40999617,39510188,0000,-0.80906454,-76235558,0000,0.037380188
68,0.0026522288,0.0079615401,0.012274603,0.013601077,0.014758813,0.0082952408,0.022214558,0.024096678,0.3438836,0.10366321,0.19657063,0.11747536,0.052310703,0.17752252,-22993667,0000,-91046178,0000,-0.40193067,40127199,0000,-0.78529442,-77704066,0000,0.05974155
69,0.0026962708,0.0088250634,0.012469346,0.013968753,0.014996771,0.0084072933,0.022579898,0.023681539,0.36145922,0.10240493,0.1940241,0.11777616,0.053053816,0.17855192,-22839348,0000,-91766338,0000,-0.39924217,406528,0000,-0.79409817,-77580578,0000,0.075094128
70,0.0027389946,0.0097291533,0.012664689,0.014324384,0.015233867,0.0085281542,0.022945357,0.023217612,0.37957637,0.10145823,0.19078247,0.11793051,0.054529142,0.17938744,-22916507,0000,-92761701,0000,-0.44225816,41052042,0000,-0.81962904,-77880954,0000,0.077764141
71,0.0027816584,0.010667518,0.012860332,0.014670549,0.015464348,0.0086602803,0.023301168,0.02284047,0.39749757,0.10073083,0.18724241,0.11739248,0.056835925,0.17909111,-23636667,0000,-93764781,0000,-0.4946839,4145935,0000,-0.80994492,-78595183,0000,0.081769161
72,0.0028234834,0.011644352,0.013057412,0.015007306,0.015691856,0.0087948631,0.023648651,0.022454873,0.41568148,0.10029272,0.1834696,0.11666484,0.058927018,0.17802115,-22685028,0000,-94119717,0000,-0.44763516,41767183,0000,-0.84163841,-79412874,0000,0.071756611
73,0.0028629715,0.012662053,0.01325665,0.01533801,0.0159139,0.0089345992,0.02399901,0.021912705,0.43431521,0.10015795,0.17984616,0.11553624,0.061115222,0.1774528,-21707668,0000,-94580104,0000,-0.39924217,41853215,0000,-0.78001217,-8061438,0000,0.08744294
74,0.0029010213,0.013723615,0.013453551,0.015658888,0.016137574,0.0090749943,0.024359135,0.021335146,0.45360844,0.099816446,0.17596468,0.11479635,0.062931693,0.17797483,-22453548,0000,-95171664,0000,-0.38848817,41854559,0000,-0.80642342,-80380754,0000,0.083771671
75,0.0029396105,0.014819093,0.013647515,0.015966044,0.016360289,0.0092169475,0.024719202,0.02092704,0.47243454,0.099249623,0.17148732,0.11410856,0.064540674,0.17838648,-23045107,0000,-950765,0000,-0.52560164,42108623,0000,-0.87861416,-78521757,0000,0.086775436
76,0.0029779001,0.015955557,0.013841001,0.016261635,0.016586647,0.0093734615,0.025078668,0.02057059,0.49159404,0.098748233,0.16674895,0.11392265,0.067283932,0.17865586,-24151067,0000,-9566806,0000,-0.55248664,42128786,0000,-0.90414503,-78535107,0000,0.078431644
77,0.0030145718,0.017129292,0.014032569,0.016544163,0.016813388,0.0095333311,0.025429866,0.020123648,0.51064873,0.098155364,0.16165196,0.11381227,0.06981411,0.17804446,-23302307,0000,-9573236,0000,-0.54979814,42083082,0000,-0.87421228,-79179248,0000,0.066416584
78,0.0030510638,0.018347249,0.014224136,0.016816624,0.017043677,0.0096886467,0.025781663,0.019748119,0.53031466,0.097681079,0.1565677,0.1140787,0.071382842,0.17761526,-23147987,0000,-94608396,0000,-0.51484764,42224228,0000,-0.84780104,-78952297,0000,0.091114208
79,0.0030876756,0.019605892,0.014416483,0.017082434,0.017277321,0.0098503738,0.026138973,0.019459672,0.55011606,0.097379537,0.15183518,0.11462741,0.073278986,0.17782318,-23199427,0000,-94428356,0000,-0.44225816,41958067,0000,-0.86364779,-79749964,0000,0.070421604
80,0.0031228493,0.020892159,0.014607991,0.017354356,0.017515568,0.010008086,0.026499818,0.019085111,0.56871954,0.09705443,0.14866035,0.11552658,0.07439442,0.17834304,-23842427,0000,-92509646,0000,-0.62238762,41303417,0000,-0.86804966,-80003615,0000,0.072090363
81,0.0031559857,0.022203173,0.014800937,0.017637663,0.017751705,0.010166038,0.026858805,0.018581727,0.58607705,0.096938148,0.14725899,0.11603497,0.075310755,0.17857318,-24665467,0000,-88803396,0000,-0.62238762,39971266,0000,-0.83371504,-78738696,0000,0.074760376
82,0.0031884629,0.023543789,0.014994722,0.017920011,0.017989568,0.010325069,0.027214677,0.018113101,0.60292317,0.096929007,0.14604202,0.11661427,0.076151662,0.1784457,-21450468,0000,-86645489,0000,-0.38311117,37980432,0000,-0.7685673,-7550798,0000,0.058406544
83,0.0032217791,0.024908912,0.015190604,0.018188518,0.018226089,0.010499799,0.027566054,0.017822096,0.61885084,0.097131418,0.14368427,0.11694347,0.078394334,0.1778943,-20653149,0000,-83124423,0000,-0.32261993,36609297,0000,-0.77032804,-69817514,0000,0.10713429
84,0.0032548556,0.026299142,0.015390441,0.01844504,0.01846328,0.010698497,0.027920188,0.017565327,0.63410367,0.097688827,0.14059965,0.11727396,0.08258531,0.17772883,-21784828,0000,-79027229,0000,-0.41806166,35251605,0000,-0.7051803,-65608905,0000,0.11681309
85,0.003286434,0.027715078,0.015585664,0.018694672,0.01869587,0.010903248,0.028282231,0.017210108,0.64887656,0.097673365,0.13744286,0.11707816,0.086543294,0.17838741,-21321868,0000,-76090006,0000,-0.36025893,33247328,0000,-0.70606068,-63055705,0000,0.054401524
86,0.0033177128,0.02914935,0.015778431,0.01893148,0.018927885,0.011112492,0.028645833,0.016895967,0.66252846,0.097415319,0.13363511,0.11686399,0.090159093,0.17907007,-19752949,0000,-72023677,0000,-0.15593297,31642294,0000,-0.62242506,-6014539,0000,0.081769161
87,0.0033495908,0.030602018,0.015971616,0.019158102,0.019156065,0.01131958,0.029008655,0.016704574,0.67528954,0.097250825,0.12957026,0.11630916,0.092836021,0.1795383,-1844123,0000,-67779879,0000,-0.14383472,3008162,0000,-0.56255957,-57028149,0000,0.14484823
88,0.0033811693,0.032076197,0.016162825,0.019374297,0.019383094,0.011525409,0.029366864,0.016521505,0.68764958,0.096921495,0.12527576,0.11575024,0.094851724,0.17945148,-20267349,0000,-63677541,0000,-0.15727722,28363669,0000,-0.58897081,-54027722,0000,0.11380932
89,0.0034114894,0.033572787,0.016355411,0.019579947,0.019609068,0.011735852,0.029725372,0.016249212,0.69977867,0.096795846,0.12078554,0.11519765,0.096925676,0.17941199,-21218988,0000,-58975928,0000,-0.17071972,26665882,0000,-0.54847357,-51581322,0000,0.089779202
90,0.0034414499,0.035079504,0.016548657,0.019769956,0.019837631,0.011947853,0.030084899,0.015995423,0.7104946,0.096761235,0.11562941,0.11501443,0.09874063,0.17948227,-20190189,0000,-53883371,0000,-0.16399847,24999012,0000,-0.56960257,-48807845,0000,0.058406544
91,0.0034720697,0.036600961,0.016741723,0.019944507,0.020068304,0.012164827,0.030444605,0.015858312,0.72054141,0.09671558,0.10995856,0.11507877,0.10068995,0.17955647,-21476188,0000,-49395233,0000,-0.055114239,23060604,0000,-0.46835945,-46985561,0000,0.073425369
92,0.0035038878,0.038142013,0.016938743,0.020100122,0.020302811,0.012377847,0.030804132,0.015868461,0.73053827,0.097074526,0.10352836,0.11551375,0.10185392,0.17959784,-19598629,0000,-43824284,0000,-0.081999233,21264686,0000,-0.53086607,-43988471,0000,0.074760376
93,0.003535586,0.039696247,0.017137801,0.020234405,0.020539332,0.012598297,0.03116252,0.015864592,0.73985403,0.097565417,0.096251007,0.11606307,0.10352812,0.17951711,-20370229,0000,-38690575,0000,0.10350723,19396179,0000,-0.37856121,-41225007,0000,0.095119228
94,0.0035674041,0.041263424,0.017338956,0.020345738,0.020779016,0.012822821,0.031522526,0.015873485,0.74860094,0.098167853,0.088134152,0.11681891,0.10527493,0.1796143,-16717991,0000,-32870142,0000,0.12770372,17327379,0000,-0.34334621,-38581694,0000,0.073091618
